Wall time,Step,Value
1745755289.860821,0,0.2854999899864197
1745755624.2649856,1,0.37267500162124634
1745755958.6628172,2,0.414249986410141
1745756293.0580106,3,0.4458500146865845
1745756627.5327227,4,0.47462499141693115
1745756962.0112224,5,0.4990749955177307
1745757296.3991985,6,0.5210000276565552
1745757630.83442,7,0.5374249815940857
1745757965.2847326,8,0.5564249753952026
1745758299.7567096,9,0.5651749968528748
1745758634.28325,10,0.5823249816894531
1745758968.723951,11,0.5911750197410583
1745759303.1506233,12,0.6018000245094299
1745759637.4357252,13,0.6111000180244446
1745759971.8269062,14,0.6237249970436096
1745760306.1429372,15,0.633525013923645
1745760640.4668021,16,0.6415249705314636
1745760974.9492376,17,0.6480500102043152
1745761309.5992842,18,0.658424973487854
1745761644.0658898,19,0.6658750176429749
1745761978.6110835,20,0.6730750203132629
1745762313.146249,21,0.6785500049591064
1745762647.470571,22,0.6897000074386597
1745762982.146458,23,0.6939749717712402
1745763316.6524076,24,0.7012749910354614
1745763651.238062,25,0.7117999792098999
1745763985.641441,26,0.71670001745224
1745764320.2418504,27,0.7251999974250793
1745764654.7019413,28,0.7280750274658203
1745764989.2747529,29,0.7395750284194946
1745765323.8800364,30,0.7435500025749207
1745765658.2899399,31,0.7506750226020813
1745765992.8362134,32,0.758650004863739
1745766327.2369475,33,0.7623500227928162
1745766661.6906023,34,0.7712000012397766
1745766996.3186147,35,0.7785999774932861
1745767330.9003026,36,0.7865999937057495
1745767665.3826296,37,0.7922499775886536
1745767999.8417578,38,0.798675000667572
1745768334.398137,39,0.8049250245094299
1745768669.0219564,40,0.8091999888420105
1745769003.4153862,41,0.8139749765396118
1745769337.815462,42,0.8211249709129333
1745769672.2144132,43,0.8302500247955322
1745770006.4767797,44,0.8364499807357788
1745770340.6315074,45,0.8424749970436096
1745770675.0658855,46,0.846875011920929
1745771009.386874,47,0.8537999987602234
1745771343.7344067,48,0.8603749871253967
1745771678.0282488,49,0.8634999990463257
1745772012.229101,50,0.8694999814033508
1745772346.3599555,51,0.8736000061035156
1745772680.6595967,52,0.8816750049591064
1745773014.9048488,53,0.8847000002861023
1745773349.0025384,54,0.8911749720573425
1745773683.2910168,55,0.8935499787330627
1745774017.6356559,56,0.899649977684021
1745774351.9084208,57,0.9005500078201294
1745774686.1263223,58,0.9063249826431274
1745775020.421149,59,0.9101499915122986
1745775354.8887355,60,0.9111250042915344
1745775689.307041,61,0.9181249737739563
1745776023.6530635,62,0.9229750037193298
1745776358.113299,63,0.9204750061035156
