Wall time,Step,Value
1745755289.860834,0,0.3408638536930084
1745755624.2650142,1,0.3956011235713959
1745755958.6628337,2,0.435708612203598
1745756293.0580213,3,0.4543192684650421
1745756627.532736,4,0.47014331817626953
1745756962.0112321,5,0.5069665312767029
1745757296.3992248,6,0.5000995397567749
1745757630.8344305,7,0.534534215927124
1745757965.2847433,8,0.5395103693008423
1745758299.7567203,9,0.5492635369300842
1745758634.283276,10,0.5615047812461853
1745758968.7239618,11,0.5693670511245728
1745759303.1506345,12,0.574840784072876
1745759637.4357352,13,0.5709593892097473
1745759971.8269172,14,0.5845939517021179
1745760306.1429484,15,0.5994227528572083
1745760640.4668312,16,0.6054936051368713
1745760974.9492478,17,0.612261176109314
1745761309.599299,18,0.6103702187538147
1745761644.0659008,19,0.6233081221580505
1745761978.611094,20,0.6128582954406738
1745762313.146275,21,0.6237062215805054
1745762647.470583,22,0.6289808750152588
1745762982.1464684,23,0.634454607963562
1745763316.6524339,24,0.637340784072876
1745763651.2380724,25,0.6351512670516968
1745763985.6414533,26,0.6403264403343201
1745764320.241861,27,0.6388335824012756
1745764654.7019508,28,0.6383360028266907
1745764989.2747633,29,0.6507762670516968
1745765323.8800466,30,0.652667224407196
1745765658.2899523,31,0.649582028388977
1745765992.836239,32,0.6510748267173767
1745766327.236958,33,0.6424164175987244
1745766661.690613,34,0.6610270738601685
1745766996.3186266,35,0.6535629034042358
1745767330.9003124,36,0.65625
1745767665.3826406,37,0.6582404375076294
1745767999.8417687,38,0.6466958522796631
1745768334.398149,39,0.6581408977508545
1745768669.0219686,40,0.6690883636474609
1745769003.415397,41,0.6640127301216125
1745769337.8154728,42,0.6608280539512634
1745769672.214424,43,0.6553543210029602
1745770006.476792,44,0.6581408977508545
1745770340.6315186,45,0.6496815085411072
1745770675.0658953,46,0.6636146306991577
1745771009.3868852,47,0.6530652642250061
1745771343.7344177,48,0.6592356562614441
1745771678.0282607,49,0.6642118096351624
1745772012.2291112,50,0.6585389971733093
1745772346.3599668,51,0.6641122698783875
1745772680.6596227,52,0.6623208522796631
1745773014.90486,53,0.6539610028266907
1745773349.0025492,54,0.6612260937690735
1745773683.2910426,55,0.6658041477203369
1745774017.6356678,56,0.6536624431610107
1745774351.9084313,57,0.6581408977508545
1745774686.126333,58,0.6619227528572083
1745775020.421159,59,0.6614251732826233
1745775354.888747,60,0.6609275341033936
1745775689.3070521,61,0.6637141704559326
1745776023.6530733,62,0.6671974658966064
1745776358.1133115,63,0.659832775592804
