ViT Name,Accuracy,Max Mem use,Mem Latency,Inference Latency,Total Latency
ViT-Combine-Merging10-Quantized,94.72,183.55615234375,0.2074117660522461,5.681479811668396,5.888891577720642
ViT-Combine-Merging15-Quantized,94.39,183.34326171875,0.20628809928894043,5.730486631393433,5.936774730682373
ViT-Combine-Merging20-Quantized,92.44,183.29931640625,0.20331037044525146,5.713739991188049,5.917050361633301
ViT-Combine-Merging25-Quantized,90.05,183.25537109375,0.20154178142547607,5.659542441368103,5.861084222793579
ViT-Combine-Merging30-Quantized,88.19,183.0234375,0.2059650421142578,5.519877672195435,5.725842714309692
ViT-Combine-Merging5-Quantized,94.91,183.2421875,0.20232129096984863,5.611656188964844,5.813977479934692
ViT-Combine-Pruning0.1-Merging10,93.49,325.14697265625,0.23140931129455566,6.905659079551697,7.137068390846252
ViT-Combine-Pruning0.1-Merging10-Quantized,93.45,165.5732421875,0.2053971290588379,5.82375180721283,6.0291489362716675
ViT-Combine-Pruning0.1-Merging15,93.07,324.43798828125,0.23557770252227783,6.187622904777527,6.423200607299805
ViT-Combine-Pruning0.1-Merging15-Quantized,93.14,165.4794921875,0.2067098617553711,5.961193203926086,6.1679030656814575
ViT-Combine-Pruning0.1-Merging20,91.66,324.3955078125,0.2350825071334839,5.768950581550598,6.004033088684082
ViT-Combine-Pruning0.1-Merging20-Quantized,91.45,165.474609375,0.20660555362701416,5.847462177276611,6.0540677309036255
ViT-Combine-Pruning0.1-Merging25,89.9,324.3955078125,0.23576152324676514,5.6715428829193115,5.907304406166077
ViT-Combine-Pruning0.1-Merging25-Quantized,89.73,165.474609375,0.20367121696472168,5.9071232080459595,6.110794425010681
ViT-Combine-Pruning0.1-Merging30,88.15,324.3955078125,0.2360602617263794,5.548964500427246,5.7850247621536255
ViT-Combine-Pruning0.1-Merging30-Quantized,88.35,165.474609375,0.21111345291137695,5.807170271873474,6.018283724784851
ViT-Combine-Pruning0.1-Merging5,93.66,325.22998046875,0.2301468849182129,7.680105447769165,7.910252332687378
ViT-Combine-Pruning0.1-Merging5-Quantized,93.66,168.88720703125,0.2004607915878296,5.704567193984985,5.905027985572815
ViT-Combine-Pruning0.1-Quantized,93.72,168.267578125,0.19947218894958496,3.5247082710266113,3.7241804599761963
ViT-Combine-Pruning0.2-Merging10,93.06,301.14990234375,0.23121261596679688,6.69094705581665,6.922159671783447
ViT-Combine-Pruning0.2-Merging10-Quantized,92.99,155.7685546875,0.20232844352722168,5.794687747955322,5.997016191482544
ViT-Combine-Pruning0.2-Merging15,91.56,301.09130859375,0.23252809047698975,5.9215779304504395,6.154106020927429
ViT-Combine-Pruning0.2-Merging15-Quantized,91.37,155.6748046875,0.2070101499557495,5.864458322525024,6.071468472480774
ViT-Combine-Pruning0.2-Merging20,91.81,301.03271484375,0.2334272861480713,5.696628212928772,5.930055499076843
ViT-Combine-Pruning0.2-Merging20-Quantized,91.84,155.669921875,0.20544052124023438,5.775158524513245,5.980599045753479
ViT-Combine-Pruning0.2-Merging25,89.93,300.97412109375,0.233664870262146,5.717274188995361,5.950939059257507
ViT-Combine-Pruning0.2-Merging25-Quantized,89.85,155.669921875,0.20524704456329346,5.895290851593018,6.100537896156311
ViT-Combine-Pruning0.2-Merging30,87.43,300.91552734375,0.23275351524353027,5.563135266304016,5.795888781547546
ViT-Combine-Pruning0.2-Merging30-Quantized,87.55,155.669921875,0.20358586311340332,5.696652412414551,5.900238275527954
ViT-Combine-Pruning0.2-Merging5,92.14,301.23583984375,0.23431599140167236,7.492416620254517,7.726732611656189
ViT-Combine-Pruning0.2-Merging5-Quantized,92.05,155.88720703125,0.20058178901672363,5.547587990760803,5.748169779777527
ViT-Combine-Pruning0.2-Quantized,92.29,155.1279296875,0.20318889617919922,2.918763041496277,3.121951937675476
ViT-Combine-Pruning0.3-Merging10,93.24,286.3046875,0.232962965965271,6.4118971824646,6.644860148429871
ViT-Combine-Pruning0.3-Merging10-Quantized,93.26,148.25537109375,0.20630347728729248,5.824956297874451,6.031259775161743
ViT-Combine-Pruning0.3-Merging15,92.85,286.11767578125,0.2352825403213501,5.822197437286377,6.057479977607727
ViT-Combine-Pruning0.3-Merging15-Quantized,92.56,148.16162109375,0.20717275142669678,5.903030753135681,6.110203504562378
ViT-Combine-Pruning0.3-Merging20,90.81,286.107421875,0.23599648475646973,5.839929580688477,6.075926065444946
ViT-Combine-Pruning0.3-Merging20-Quantized,90.84,148.15673828125,0.20712852478027344,5.852157831192017,6.05928635597229
ViT-Combine-Pruning0.3-Merging25,90.59,286.107421875,0.23437321186065674,5.738769769668579,5.973142981529236
ViT-Combine-Pruning0.3-Merging25-Quantized,90.68,148.15673828125,0.20355641841888428,5.853666424751282,6.057222843170166
ViT-Combine-Pruning0.3-Merging30,88.83,286.107421875,0.23324930667877197,5.636234283447266,5.869483590126038
ViT-Combine-Pruning0.3-Merging30-Quantized,89.06,148.15673828125,0.20671939849853516,5.664082050323486,5.8708014488220215
ViT-Combine-Pruning0.3-Merging5,93.57,285.42041015625,0.23229122161865234,7.089269399642944,7.321560621261597
ViT-Combine-Pruning0.3-Merging5-Quantized,93.46,148.349609375,0.20590507984161377,5.846626162528992,6.0525312423706055
ViT-Combine-Pruning0.3-Quantized,93.65,146.4833984375,0.1989535093307495,3.2199647426605225,3.418918251991272
ViT-Combine-Pruning0.4-Merging10,93.55,259.994140625,0.23420655727386475,6.069970011711121,6.304176568984985
ViT-Combine-Pruning0.4-Merging10-Quantized,93.48,134.1318359375,0.20756566524505615,5.8252341747283936,6.03279983997345
